Title,Price,Category_path,Rating,Qty_califications,Features_JSON_format,Image_Url,Item_Url
Cama sofá infantil,59.99,Inicio>Muebles Lufe>Camas>Camas sofá>Cama sofá infantil,,,"{""Largo exterior_0"": "" 167 cm"", ""Ancho exterior_0"": "" 79 cm"", ""Altura total_0"": "" 68,5 cm"", ""Largo de la barrera_0"": "" 100 cm"", ""Altura de la barrera_0"": "" Una vez colocada la barrera 24 cm desde la base del larguero, 32 cm desde las lamas"", ""Peso de la cama_0"": "" 17 kg"", ""Este producto no incluye colchón, el colchón compatible es de 70x160 cm. La barrera de protección es opcional. Una barrera de quita y pon que puedes enganchar con un solo clic o atornillar al larguero para hacerla fija._1"": null}",https://muebleslufe.com/2032-thickbox_default/cama-sofa-infantil.jpg,https://muebleslufe.com/es/sofa/466-cama-sofa-infantil.html
Cómoda,99.99,Inicio>¡Novedades!>Cómoda,4.2,102,"{""Material_1"": "" Madera local certificada PEFC"", ""Altura_1"": "" 96 cm"", ""Anchura_1"": "" 80 cm"", ""Fondo total_1"": "" 46 cm (44 cm de la estructura más 2 cm del cajón que va solapado)"", ""Medida cajones_1"": "" Frente"", ""Interior_1"": "" Largo x ancho x alto""}",https://muebleslufe.com/1916-thickbox_default/comoda-ninao.jpg,https://muebleslufe.com/es/novedades-lufe/444-comoda-ninao.html
Estantería Montessori 3 baldas,39.99,Inicio>Muebles Lufe>Ambientes>Dormitorios>Habitaciones infantiles>Estantería Montessori 3 baldas,4.7,226,"{""Descripcion_0"": "" Material"", ""Número de baldas_0"": "" 3 "", ""Altura total_0"": "" 100 cm"", ""Anchura exterior_0"": "" 72,5 cm "", ""Fondo estantería_0"": "" 11 cm"", ""Grueso de laterales y baldas_0"": "" 2 cm""}",https://muebleslufe.com/1707-thickbox_default/estanteria-montessori-tres-baldas.jpg,https://muebleslufe.com/es/habitaciones-infantiles/422-estanteria-montessori-tres-baldas.html
Silla de madera,24.99,Inicio>Muebles Lufe>Sofás, sillas y bancos>Sillas>Silla de madera,4.4,34,"{""Material"": "" Madera local certificada PEFC"", ""Altura del asiento"": "" 45 cm"", ""Anchura del asiento"": "" en la parte exterior 38 cm, en la parte interior 28 cm"", ""Fondo del asiento"": "" 43 cm"", ""Altura del respaldo"": "" 87 cm""}",https://muebleslufe.com/799-thickbox_default/silla-lufe.jpg,https://muebleslufe.com/es/sillas/114-silla-lufe.html
Litera Montessori 80,124.99,Inicio>Muebles Lufe>Literas>Litera Montessori 80,4.4,5,"{""Descripcion_7"": "" En los estándares de seguridad la altura máxima recomendado para la barrera de la parte superior es de 20 cm, por lo que no es aconsejable utilizar un colchón que supere los 21 cm de altura.""}",https://muebleslufe.com/2001-thickbox_default/litera-montessori-80.jpg,https://muebleslufe.com/es/litera/459-litera-montessori-80.html
Conjunto 120,89.99,Inicio>Muebles Lufe>Mesas de madera>Mesas de estudio>Conjunto 120,3,1,{},https://muebleslufe.com/1980-thickbox_default/conjunto-escritorio-120.jpg,https://muebleslufe.com/es/mesa-estudio/455-conjunto-escritorio-120.html
Mesa de comedor,69.99,Inicio>Muebles Lufe>Mesas de madera>Mesas de comedor>Mesa de comedor,4.6,130,"{""Material"": "" Madera local certificada PEFC"", ""Altura mesa"": "" 75 cm"", ""Anchura mesa"": "" 88 cm"", ""Largos disponibles"": "" 88 cm, 120 cm, 180 cm"", ""Puedes usarla en exterior aplicando uno de nuestros barnices o aceites protectores, es importante que lo hagas porque la madera, la de verdad, es una superficie delicada a la que hay que mimar más que otras superficies. _1"": null}",https://muebleslufe.com/777-thickbox_default/mesa-arina.jpg,https://muebleslufe.com/es/mesa-arrina/91-mesa-arina.html
Ambiente de mesa y bancos de madera maciza,129.97,Inicio>Muebles Lufe>Ambientes>Cocinas>Cocinas modernas>Ambiente de mesa y bancos de madera maciza,4.5,37,"{""Composición para salón comedor formada por_0"": """", ""Una ARINA Mesa de comedor con diferentes largos disponibles_1"": null}",https://muebleslufe.com/1451-thickbox_default/conjunto-mesa-con-banco.jpg,https://muebleslufe.com/es/cocinas-modernas/106-conjunto-mesa-con-banco.html
Mesa 88x55,59.99,Inicio>Muebles Lufe>Mesas de madera>Mesa 88x55,4,4,"{""Altura mesa"": "" 75 cm"", ""Anchura mesa"": "" 55 cm"", ""Largo"": "" 88 cm"", ""Puedes usarla en exterior aplicando uno de nuestros barnices o aceites protectores, es importante que lo hagas porque la madera, la de verdad, es una superficie delicada a la que hay que mimar más que otras superficies. _1"": null}",https://muebleslufe.com/1982-thickbox_default/arina-88x55.jpg,https://muebleslufe.com/es/mesas/456-arina-88x55.html
Mesa de comedor con sillas,69.99,Inicio>Muebles Lufe>Ambientes>Cocinas>Cocinas modernas>Mesa de comedor con sillas,4.5,24,"{""Material"": "" Madera local certificada PEFC"", ""Altura del asiento"": "" 45 cm"", ""Anchura del asiento"": "" 45 cm"", ""Fondo del asiento"": "" 40 cm"", ""Altura del respaldo"": "" 86 cm"", ""Altura de las patas traseras"": "" 64,5 cm""}",https://muebleslufe.com/689-thickbox_default/composicion-mesa-arina-y-silla-landa.jpg,https://muebleslufe.com/es/cocinas-modernas/121-composicion-mesa-arina-y-silla-landa.html
